year,country,attacks
2014,Brazil,8
2014,Ecuador,1
2014,Guatemala,3
2014,Mexico,1
2014,Paraguay,1
2015,Brazil,7
2015,Chile,2
2015,Colombia,1
2015,Costa Rica,1
2015,Ecuador,2
2015,Mexico,7
2016,Argentina,2
2016,Brazil,15
2016,Chile,1
2016,Costa Rica,3
2016,Dominican Republic,1
2016,Ecuador,1
2016,Mexico,19
2016,Panama,5
2017,Argentina,3
2017,Brazil,10
2017,Chile,1
2017,Colombia,1
2017,Mexico,4
2017,Panama,2
2018,Brazil,6
2018,Chile,3
2018,Mexico,6
2019,Argentina,2
2019,Brazil,4
2019,Chile,4
2019,Mexico,3
2019,Panama,3
2020,Argentina,2
2020,Brazil,13
2020,Chile,2
2020,Costa Rica,1
2020,Jamaica,1
2020,Mexico,5
2021,Argentina,7
2021,Brazil,24
2021,Chile,1
2021,Dominican Republic,1
2021,Ecuador,4
2021,El Salvador,1
2021,Jamaica,1
2021,Mexico,8
2022,Argentina,13
2022,Brazil,35
2022,Chile,10
2022,Colombia,16
2022,Costa Rica,8
2022,Dominican Republic,1
2022,Ecuador,4
2022,El Salvador,1
2022,Guatemala,5
2022,Mexico,10
2022,Paraguay,2
2022,Peru,6
2022,Uruguay,1
2023,Argentina,5
2023,Brazil,23
2023,Chile,10
2023,Colombia,7
2023,Costa Rica,2
2023,Cuba,1
2023,Dominican Republic,2
2023,Ecuador,1
2023,El Salvador,1
2023,Guatemala,1
2023,Jamaica,2
2023,Mexico,10
2023,Nicaragua,1
2023,Panama,2
2023,Peru,1
2023,Uruguay,1
2024,Argentina,4
2024,Brazil,1
2024,Chile,1
2024,Colombia,1
2024,Costa Rica,1
2024,Ecuador,1
2024,El Salvador,2
2024,Mexico,3
2024,Paraguay,1
2024,Peru,2
